
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Alex Abrines\abrinal01,SG,25,OKC,29,2,573,4.5,12.5,.359,3.3,10.1,.323,1.2,2.4,.517,1.0,1.1,.923,0.4,3.4,3.8,1.6,1.4,0.5,1.1,4.2,13.2,,104,108
2,Quincy Acy\acyqu01,PF,28,PHO,2,0,17,0.0,2.8,.000,0.0,2.8,.000,0.0,0.0,,0.0,0.0,,0.0,2.8,2.8,0.0,0.0,0.0,0.0,14.2,0.0,,0,121
3,Jaylen Adams\adamsja01,PG,22,ATL,8,0,27,3.4,10.2,.333,3.4,8.5,.400,0.0,1.7,.000,0.0,0.0,,0.0,5.1,5.1,6.8,1.7,1.7,1.7,0.0,10.2,,108,113
4,Steven Adams\adamsst01,C,25,OKC,40,40,1357,8.9,14.9,.601,0.0,0.0,.000,8.9,14.8,.602,3.4,6.3,.543,6.5,7.4,14.0,2.3,2.0,1.1,2.1,3.6,21.3,,124,104
5,Bam Adebayo\adebaba01,C,21,MIA,40,5,856,6.9,12.4,.558,0.1,0.3,.167,6.9,12.1,.569,4.3,6.0,.724,4.9,10.7,15.6,4.9,1.7,1.9,2.9,5.9,18.2,,121,104
6,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,0,22,6.8,22.6,.300,0.0,9.0,.000,6.8,13.5,.500,2.3,4.5,.500,2.3,6.8,9.0,13.5,4.5,0.0,4.5,9.0,15.8,,84,103
7,LaMarcus Aldridge\aldrila01,C,33,SAS,43,43,1401,12.3,24.1,.509,0.1,0.5,.143,12.2,23.6,.516,6.6,7.8,.842,4.3,8.7,12.9,3.6,0.8,1.8,2.8,3.3,31.1,,115,110
8,Rawle Alkins\alkinra01,SG,21,CHI,2,0,4,12.2,48.9,.250,12.2,12.2,1.000,0.0,36.7,.000,0.0,0.0,,36.7,0.0,36.7,24.5,12.2,0.0,0.0,0.0,36.7,,125,94
9,Grayson Allen\allengr01,SG,23,UTA,17,1,165,5.8,18.1,.323,3.2,12.0,.268,2.6,6.1,.429,5.3,7.3,.720,0.3,1.2,1.5,2.0,0.3,0.0,2.9,5.3,20.2,,90,114
10,Jarrett Allen\allenja01,C,20,BRK,42,42,1111,8.1,13.8,.584,0.2,1.1,.160,7.9,12.7,.621,5.0,6.8,.734,4.7,10.5,15.2,2.6,1.1,2.7,2.4,4.3,21.3,,125,108
11,Al-Farouq Aminu\aminual01,PF,28,POR,43,43,1293,5.1,12.0,.427,2.2,6.2,.352,3.0,5.8,.506,2.7,3.2,.837,2.4,10.5,12.9,1.6,1.5,0.7,1.3,3.3,15.1,,117,108
12,Justin Anderson\anderju01,SG,25,ATL,23,0,201,6.0,15.6,.382,1.4,6.9,.200,4.6,8.7,.526,2.3,3.0,.769,2.3,6.2,8.5,2.5,2.1,1.6,2.8,5.7,15.6,,92,111
13,Kyle Anderson\anderky01,SF,25,MEM,40,37,1208,5.8,10.8,.541,0.4,1.4,.265,5.4,9.3,.583,1.4,2.5,.576,1.8,8.2,10.0,5.2,2.2,1.5,2.1,4.3,13.5,,111,105
14,Ryan Anderson\anderry01,PF,30,PHO,15,8,278,3.3,10.4,.317,1.2,5.9,.206,2.1,4.5,.462,1.9,2.4,.786,2.4,5.4,7.8,3.0,0.5,0.2,2.1,4.0,9.7,,91,118
15,Ike Anigbogu\anigbik01,C,20,IND,3,0,6,0.0,24.5,.000,0.0,0.0,,0.0,24.5,.000,0.0,0.0,,8.2,16.4,24.5,8.2,0.0,8.2,8.2,0.0,0.0,,33,95
16,Giannis Antetokounmpo\antetgi01,PF,24,MIL,38,38,1277,13.9,23.9,.581,0.6,3.3,.167,13.3,20.6,.647,8.8,12.6,.699,3.4,14.5,17.9,8.4,1.8,2.1,5.7,4.7,37.1,,118,100
17,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,294,8.3,20.5,.405,3.6,10.9,.328,4.7,9.7,.491,2.5,3.7,.682,1.5,7.6,9.2,0.8,0.7,1.2,1.4,5.4,22.7,,104,114
