Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Alex Abrines\abrinal01,SG,25,OKC,29,2,573,4.5,12.5,.359,3.3,10.1,.323,1.2,2.4,.517,1.0,1.1,.923,0.4,3.4,3.8,1.6,1.4,0.5,1.1,4.2,13.3,,105,107
2,Jaylen Adams\adamsja01,PG,22,ATL,8,0,27,3.4,10.2,.333,3.4,8.5,.400,0.0,1.7,.000,0.0,0.0,,0.0,5.1,5.1,6.8,1.7,1.7,1.7,0.0,10.2,,107,113
3,Steven Adams\adamsst01,C,25,OKC,31,31,1038,9.4,15.9,.591,0.0,0.0,,9.4,15.9,.591,3.7,6.7,.550,7.0,7.0,14.0,2.1,1.9,1.2,2.2,3.3,22.5,,123,103
4,Bam Adebayo\adebaba01,C,21,MIA,32,5,670,6.5,12.3,.524,0.1,0.4,.200,6.4,12.0,.533,4.6,6.6,.703,5.1,11.4,16.5,4.6,1.6,2.1,3.0,6.0,17.6,,117,104
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,0,22,6.8,22.5,.300,0.0,9.0,.000,6.8,13.5,.500,2.3,4.5,.500,2.3,6.8,9.0,13.5,4.5,0.0,4.5,9.0,15.8,,83,102
6,LaMarcus Aldridge\aldrila01,C,33,SAS,34,34,1091,11.3,23.5,.482,0.1,0.5,.167,11.2,22.9,.489,5.8,7.0,.827,4.6,9.6,14.2,3.3,0.7,1.8,2.9,3.2,28.5,,110,110
7,Rawle Alkins\alkinra01,SG,21,CHI,2,0,4,12.2,48.6,.250,12.2,12.2,1.000,0.0,36.5,.000,0.0,0.0,,36.5,0.0,36.5,24.3,12.2,0.0,0.0,0.0,36.5,,125,93
8,Grayson Allen\allengr01,SG,23,UTA,17,1,165,5.8,18.1,.323,3.2,12.0,.268,2.6,6.1,.429,5.3,7.3,.720,0.3,1.2,1.5,2.0,0.3,0.0,2.9,5.3,20.2,,89,114
9,Jarrett Allen\allenja01,C,20,BRK,33,33,897,8.3,14.0,.594,0.2,1.3,.174,8.1,12.7,.635,4.8,6.5,.731,4.8,10.0,14.8,3.0,1.0,2.5,2.4,4.6,21.6,,127,109
10,Al-Farouq Aminu\aminual01,PF,28,POR,33,33,987,5.0,11.6,.428,2.2,6.4,.346,2.8,5.2,.528,2.6,3.2,.815,2.1,10.7,12.8,1.2,1.6,0.5,1.4,3.5,14.7,,115,109
11,Justin Anderson\anderju01,SG,25,ATL,14,0,106,9.1,18.6,.488,1.7,7.8,.222,7.3,10.8,.680,4.3,4.7,.909,2.6,6.0,8.6,3.5,3.0,0.9,1.7,6.5,24.2,,118,110
12,Kyle Anderson\anderky01,SF,25,MEM,32,29,934,5.4,10.6,.513,0.3,1.2,.227,5.2,9.4,.549,1.3,2.1,.615,2.0,8.9,10.8,5.0,2.1,1.3,2.1,4.5,12.5,,108,105
13,Ryan Anderson\anderry01,PF,30,PHO,15,8,278,3.3,10.5,.317,1.2,5.9,.206,2.1,4.5,.462,1.9,2.4,.786,2.4,5.4,7.8,3.0,0.5,0.2,2.1,4.0,9.8,,91,117
14,Ike Anigbogu\anigbik01,C,20,IND,3,0,6,0.0,24.6,.000,0.0,0.0,,0.0,24.6,.000,0.0,0.0,,8.2,16.4,24.6,8.2,0.0,8.2,8.2,0.0,0.0,,33,93
15,Giannis Antetokounmpo\antetgi01,PF,24,MIL,30,30,1015,13.5,23.3,.583,0.4,3.2,.130,13.1,20.1,.654,8.9,12.7,.701,3.6,14.1,17.7,8.3,1.7,1.9,6.0,4.8,36.4,,117,100
16,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,294,8.4,20.7,.405,3.6,10.9,.328,4.8,9.7,.491,2.6,3.8,.682,1.5,7.7,9.2,0.9,0.7,1.2,1.4,5.5,22.9,,104,114
17,OG Anunoby\anunoog01,SF,21,TOR,29,5,599,7.7,17.2,.446,2.8,8.7,.324,4.8,8.5,.571,0.6,1.9,.292,1.7,5.2,6.9,1.3,1.5,0.7,1.7,5.4,18.7,,101,110
18,Ryan Arcidiacono\arcidry01,PG,24,CHI,33,22,940,4.2,9.3,.453,2.5,6.2,.400,1.7,3.1,.559,1.3,1.6,.833,0.5,4.1,4.6,6.6,1.8,0.1,1.6,4.1,12.2,,121,113
