,Tm,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
0,ATL,1950,64,29,35,0.45299999999999996,0,3,1,2,,6,,1818,0,0.0,0,0,0.0,0,2308,0.727,0,0,0,1330,2057,0,0,0,5313,10
1,ATL,1951,68,25,43,0.368,0,5,0,0,,5,,1988,0,0.0,0,0,0.0,0,2425,0.723,0,0,0,1476,2092,0,0,0,5730,3
2,ATL,1952,66,17,49,0.258,0,5,0,0,,6,,1674,0,0.0,0,0,0.0,0,2177,0.682,0,0,0,1229,1848,0,0,0,4833,10
3,ATL,1953,71,27,44,0.38,0,5,0,0,,5,,1873,0,0.0,0,0,0.0,0,2400,0.685,0,0,0,1427,2120,0,0,0,5389,9
4,ATL,1954,72,21,51,0.292,0,4,0,0,,4,,1757,0,0.0,0,0,0.0,0,2205,0.691,0,0,0,1298,1771,0,0,0,5038,9
5,ATL,1955,72,26,46,0.361,0,4,0,0,,4,,2187,0,0.0,0,0,0.0,0,2672,0.7170000000000001,0,0,0,1544,1904,0,0,0,6291,8
6,ATL,1956,72,33,39,0.45799999999999996,0,2,4,4,,5,,2506,0,0.0,0,0,0.0,0,2761,0.703,0,0,0,1748,1971,0,0,0,6953,6
7,ATL,1957,72,34,38,0.47200000000000003,0,1,6,4,,4,FINALS APPEARANCE,2557,0,0.0,0,0,0.0,0,2710,0.73,0,0,0,1454,1848,0,0,0,7091,6
8,ATL,1958,72,41,31,0.569,0,1,8,3,,4,LEAGUE CHAMPION,2779,0,0.0,0,0,0.0,0,3047,0.715,0,0,0,1541,1875,0,0,0,7738,3
9,ATL,1959,72,49,23,0.6809999999999999,0,1,2,4,,4,,2879,0,0.0,0,0,0.0,0,2757,0.752,0,0,0,1567,1937,0,0,0,7830,4
10,ATL,1960,75,46,29,0.613,0,1,7,7,,4,FINALS APPEARANCE,3179,0,0.0,0,0,0.0,0,2885,0.745,0,0,0,1881,1995,0,0,0,8506,5
11,ATL,1961,79,51,28,0.6459999999999999,0,1,5,7,,4,FINALS APPEARANCE,3618,0,0.0,0,0,0.0,0,2921,0.735,0,0,0,2136,2135,0,0,0,9383,4
12,ATL,1962,80,29,51,0.363,0,4,0,0,,5,,3641,0,0.0,0,0,0.0,0,2939,0.757,0,0,0,1996,2166,0,0,0,9508,5
